longitude,latitude,StateCode,LGA,LGA NAME,year,Median Age Ð Males (years),Median Age Ð Females (years),Median Age Ð Persons (years),Births,Total fertility rate (per female),Deaths,Population density (persons/km2),Arrivals,Departures,Postgraduate degree (%),Train or tram To Work,Bus To Work,Car (as driver; passenger) To Work,Motor bike/scooter To Work,Bicycle To Work,Other (inc. taxis) To Work,Couple families with children under 15 and/or dependent students,Couple families with non-dependent children only,Couple families without children,One parent families; children under 15 and/or dependent students,One parent families; non-dependent children only,Broadband connection (%)
148.7541275,-33.15298093,1,11400,Cabonne (A),2013,42.1,42.3,42.3,165,2.4,113,2.3,870,842,,,,,,,,,,,,,
148.7541275,-33.15298093,1,11400,Cabonne (A),2014,42.1,42.7,42.5,154,2.4,118,2.3,870,896,,,,,,,,,,,,,
150.7239319,-34.00875661,1,11450,Camden (A),2010,32.9,34.3,33.6,921,2.1,266,282.4,4883,4008,,,,,,,,,,,,,
150.7239319,-34.00875661,1,11450,Camden (A),2011,33.1,34.5,33.9,843,2.1,320,290.4,5396,3957,2,600,150,21168,107,52,696,6978,1519,4634,1528,652,74.8
150.7239319,-34.00875661,1,11450,Camden (A),2012,33.3,34.7,34,839,2.1,279,301.4,5175,3906,,,,,,,,,,,,,
150.7239319,-34.00875661,1,11450,Camden (A),2013,33.3,34.8,34.1,956,2,305,314.2,5197,3725,,,,,,,,,,,,,
150.7239319,-34.00875661,1,11450,Camden (A),2014,33.2,34.7,34,964,2,292,333.3,5968,3857,,,,,,,,,,,,,
150.8457979,-34.08339172,1,11500,Campbelltown (C),2010,32,33.8,32.9,2566,2.3,738,481.6,8430,9843,,,,,,,,,,,,,
150.8457979,-34.08339172,1,11500,Campbelltown (C),2011,32.5,34.2,33.4,2458,2.2,738,484.3,8625,9828,2.2,6636,623,42813,274,109,1272,14527,4487,10768,5877,2846,67.5
150.8457979,-34.08339172,1,11500,Campbelltown (C),2012,32.8,34.6,33.7,2341,2.2,762,489,8329,9727,,,,,,,,,,,,,
150.8457979,-34.08339172,1,11500,Campbelltown (C),2013,33.1,34.8,33.9,2370,2.1,809,495,8391,9646,,,,,,,,,,,,,
150.8457979,-34.08339172,1,11500,Campbelltown (C),2014,33.4,35,34.2,2109,2,792,501.6,9222,10124,,,,,,,,,,,,,
151.1147552,-33.85349732,1,11520,Canada Bay (A),2010,36.1,37.9,37,1261,1.8,395,3906.3,7494,6629,,,,,,,,,,,,,
151.1147552,-33.85349732,1,11520,Canada Bay (A),2011,36.1,38,37,1237,1.8,396,4024.7,7367,6984,8,3475,3103,21892,274,369,1254,7708,1838,8025,1459,1085,73.1
151.1147552,-33.85349732,1,11520,Canada Bay (A),2012,36.1,37.9,37,1299,1.8,435,4135.6,6998,6710,,,,,,,,,,,,,
151.1147552,-33.85349732,1,11520,Canada Bay (A),2013,36.1,37.9,36.9,1340,1.8,407,4267.4,7230,6810,,,,,,,,,,,,,
151.1147552,-33.85349732,1,11520,Canada Bay (A),2014,36,37.9,36.9,1281,1.8,458,4397.4,7687,7488,,,,,,,,,,,,,
151.0929009,-33.9235894,1,11550,Canterbury (C),2010,34.8,36.4,35.6,2568,2.3,768,4288.3,9624,11916,,,,,,,,,,,,,
151.0929009,-33.9235894,1,11550,Canterbury (C),2011,34.8,36.5,35.6,2442,2.3,841,4322.8,9162,11821,4.5,8247,1489,32114,229,227,1124,14571,3972,10498,3770,2591,62.6
151.0929009,-33.9235894,1,11550,Canterbury (C),2012,34.9,36.7,35.8,2473,2.2,743,4374.6,8777,11381,,,,,,,,,,,,,
151.0929009,-33.9235894,1,11550,Canterbury (C),2013,34.9,36.7,35.8,2461,2.2,786,4434.3,9154,11400,,,,,,,,,,,,,
151.0929009,-33.9235894,1,11550,Canterbury (C),2014,35,36.9,35.9,2196,2.1,826,4487.7,9783,12415,,,,,,,,,,,,,
145.4964431,-33.60903224,1,11600,Carrathool (A),2010,41.3,39.5,40.4,31,2.6,30,0.1,140,221,,,,,,,,,,,,,
145.4964431,-33.60903224,1,11600,Carrathool (A),2011,41.3,40.2,40.7,25,2.3,13,0.1,168,212,0.5,,6,732,9,9,56,246,41,298,53,36,52.2
145.4964431,-33.60903224,1,11600,Carrathool (A),2012,41.9,40.7,41.2,46,2.4,17,0.1,167,179,,,,,,,,,,,,,
145.4964431,-33.60903224,1,11600,Carrathool (A),2013,42,41.3,41.6,36,2.5,20,0.1,132,176,,,,,,,,,,,,,
145.4964431,-33.60903224,1,11600,Carrathool (A),2014,42,41.7,41.9,32,2.6,30,0.1,152,172,,,,,,,,,,,,,
143.5898231,-31.85079736,1,11700,Central Darling (A),2010,39.3,34.8,38,42,2.8,23,,198,223,,,,,,,,,,,,,
143.5898231,-31.85079736,1,11700,Central Darling (A),2011,39.9,36.8,38.8,45,3.2,13,,176,219,1,,3,344,15,9,28,136,25,193,74,36,43.3
143.5898231,-31.85079736,1,11700,Central Darling (A),2012,40.3,36.3,39,34,3.2,16,,167,175,,,,,,,,,,,,,
143.5898231,-31.85079736,1,11700,Central Darling (A),2013,40.1,36.4,38.8,33,3,17,,174,217,,,,,,,,,,,,,
143.5898231,-31.85079736,1,11700,Central Darling (A),2014,40.5,36.7,39.2,40,3,10,,183,214,,,,,,,,,,,,,
151.2248481,-32.92512286,1,11720,Cessnock (C),2010,36.5,37.9,37.2,725,2.4,478,26.1,3629,3297,,,,,,,,,,,,,
151.2248481,-32.92512286,1,11720,Cessnock (C),2011,36.6,38,37.3,784,2.3,428,26.7,3936,3281,0.7,24,85,15583,108,45,451,4553,1203,5047,1925,875,60.3
151.2248481,-32.92512286,1,11720,Cessnock (C),2012,36.5,37.8,37.1,784,2.3,456,27.1,3931,3320,,,,,,,,,,,,,
151.2248481,-32.92512286,1,11720,Cessnock (C),2013,36.5,37.7,37.1,720,2.3,422,27.6,3827,3558,,,,,,,,,,,,,
151.2248481,-32.92512286,1,11720,Cessnock (C),2014,36.6,37.7,37.2,678,2.1,455,28,3884,3536,,,,,,,,,,,,,
152.7511491,-29.68174214,1,11730,Clarence Valley (A),2010,44.6,45.8,45.2,591,2.5,443,4.9,3162,2810,,,,,,,,,,,,,
152.7511491,-29.68174214,1,11730,Clarence Valley (A),2011,45.1,46.1,45.6,552,2.5,514,4.9,2890,2724,1,13,78,12103,124,263,499,3769,884,6380,1781,676,57.8
152.7511491,-29.68174214,1,11730,Clarence Valley (A),2012,45.4,46.4,46,484,2.3,480,4.9,2853,2857,,,,,,,,,,,,,
152.7511491,-29.68174214,1,11730,Clarence Valley (A),2013,46,47,46.5,502,2.2,523,4.9,2543,2654,,,,,,,,,,,,,
152.7511491,-29.68174214,1,11730,Clarence Valley (A),2014,46.5,47.5,47,457,2.1,519,4.9,2735,2854,,,,,,,,,,,,,
145.483029,-31.86809904,1,11750,Cobar (A),2010,34.8,34.8,34.8,70,2.4,27,0.1,362,448,,,,,,,,,,,,,
145.483029,-31.86809904,1,11750,Cobar (A),2011,35,34.9,34.9,71,2.3,31,0.1,343,476,0.9,3,52,1435,11,14,57,437,63,488,115,57,55.3
145.483029,-31.86809904,1,11750,Cobar (A),2012,35.1,34.6,34.9,69,2.1,23,0.1,361,433,,,,,,,,,,,,,
145.483029,-31.86809904,1,11750,Cobar (A),2013,34.5,34.9,34.7,83,2.2,35,0.1,402,348,,,,,,,,,,,,,
145.483029,-31.86809904,1,11750,Cobar (A),2014,34.2,34.8,34.5,78,2.3,32,0.1,376,397,,,,,,,,,,,,,
153.0398209,-30.18905312,1,11800,Coffs Harbour (C),2010,40.8,42.7,41.8,884,2.2,577,60,5212,4610,,,,,,,,,,,,,
153.0398209,-30.18905312,1,11800,Coffs Harbour (C),2011,41.2,43,42.2,846,2.2,637,60.5,4933,4768,1.6,21,147,20329,230,288,675,5765,1203,7950,2582,973,64.4
153.0398209,-30.18905312,1,11800,Coffs Harbour (C),2012,41.5,43.3,42.4,810,2.2,615,60.6,4449,4619,,,,,,,,,,,,,
153.0398209,-30.18905312,1,11800,Coffs Harbour (C),2013,41.6,43.3,42.6,861,2.2,619,61.2,4265,4362,,,,,,,,,,,,,
